model,llc_value
checkpoints/sort_no_decay_l1_activation.pth_0,0.49444944
checkpoints/sort_no_decay_l1_activation.pth_1,0.5822553
checkpoints/sort_no_decay_l1_activation.pth_2,0.43013978
checkpoints/sort_no_decay_l1_activation.pth_3,0.6072744
checkpoints/sort_no_decay_l1_activation.pth_4,0.6411233
checkpoints/sort_no_decay_l1_activation.pth_5,0.5888463
checkpoints/sort_no_decay_l1_activation.pth_6,0.71018636
checkpoints/sort_no_decay_l1_activation.pth_7,0.6804369
checkpoints/sort_no_decay_l1_activation.pth_8,0.8476337
checkpoints/sort_no_decay_l1_activation.pth_9,0.72967666
checkpoints/sort_no_decay_l1_activation.pth_10,0.7866732
checkpoints/sort_no_decay_l1_activation.pth_11,0.781003
checkpoints/sort_no_decay_l1_activation.pth_12,1.0287646
checkpoints/sort_no_decay_l1_activation.pth_13,1.1279837
checkpoints/sort_no_decay_l1_activation.pth_14,1.2023792
checkpoints/sort_no_decay_l1_activation.pth_15,1.1978822
checkpoints/sort_no_decay_l1_activation.pth_16,1.3058316
checkpoints/sort_no_decay_l1_activation.pth_17,1.2578375
checkpoints/sort_no_decay_l1_activation.pth_18,0.92883325
checkpoints/sort_no_decay_l1_activation.pth_19,1.7518009
checkpoints/sort_no_decay_l1_activation.pth_20,0.9649959
checkpoints/sort_no_decay_l1_activation.pth_21,1.6206893
checkpoints/sort_no_decay_l1_activation.pth_22,1.5082971
checkpoints/sort_no_decay_l1_activation.pth_23,1.3178308
checkpoints/sort_no_decay_l1_activation.pth_24,1.3217236
checkpoints/sort_no_decay_l1_activation.pth_25,1.3306211
checkpoints/sort_no_decay_l1_activation.pth_26,1.7527213
checkpoints/sort_no_decay_l1_activation.pth_27,1.578264
checkpoints/sort_no_decay_l1_activation.pth_28,1.5017953
checkpoints/sort_no_decay_l1_activation.pth_29,1.3374583
checkpoints/sort_mid_decay_l1_activation.pth_0,0.6259443
checkpoints/sort_mid_decay_l1_activation.pth_1,0.516919
checkpoints/sort_mid_decay_l1_activation.pth_2,0.5168232
checkpoints/sort_mid_decay_l1_activation.pth_3,0.5298438
checkpoints/sort_mid_decay_l1_activation.pth_4,0.505744
checkpoints/sort_mid_decay_l1_activation.pth_5,0.5513236
checkpoints/sort_mid_decay_l1_activation.pth_6,0.6308736
checkpoints/sort_mid_decay_l1_activation.pth_7,0.70547706
checkpoints/sort_mid_decay_l1_activation.pth_8,0.6996013
checkpoints/sort_mid_decay_l1_activation.pth_9,0.8130805
checkpoints/sort_mid_decay_l1_activation.pth_10,0.9078864
checkpoints/sort_mid_decay_l1_activation.pth_11,0.919992
checkpoints/sort_mid_decay_l1_activation.pth_12,1.0514152
checkpoints/sort_mid_decay_l1_activation.pth_13,1.1614276
checkpoints/sort_mid_decay_l1_activation.pth_14,1.184943
checkpoints/sort_mid_decay_l1_activation.pth_15,0.8892194
checkpoints/sort_mid_decay_l1_activation.pth_16,1.7920506
checkpoints/sort_mid_decay_l1_activation.pth_17,1.456032
checkpoints/sort_mid_decay_l1_activation.pth_18,0.9658187
checkpoints/sort_mid_decay_l1_activation.pth_19,1.6629245
checkpoints/sort_mid_decay_l1_activation.pth_20,1.378622
checkpoints/sort_mid_decay_l1_activation.pth_21,1.0255104
checkpoints/sort_mid_decay_l1_activation.pth_22,1.5506437
checkpoints/sort_mid_decay_l1_activation.pth_23,1.2671245
checkpoints/sort_mid_decay_l1_activation.pth_24,1.2694087
checkpoints/sort_mid_decay_l1_activation.pth_25,1.5860556
checkpoints/sort_mid_decay_l1_activation.pth_26,1.1315632
checkpoints/sort_mid_decay_l1_activation.pth_27,1.2423875
checkpoints/sort_mid_decay_l1_activation.pth_28,1.6521806
checkpoints/sort_mid_decay_l1_activation.pth_29,1.264079
checkpoints/sort_high_decay_l1_activation.pth_0,0.47058
checkpoints/sort_high_decay_l1_activation.pth_1,0.48920792
checkpoints/sort_high_decay_l1_activation.pth_2,0.5579694
checkpoints/sort_high_decay_l1_activation.pth_3,0.5447281
checkpoints/sort_high_decay_l1_activation.pth_4,0.61901605
checkpoints/sort_high_decay_l1_activation.pth_5,0.53985715
checkpoints/sort_high_decay_l1_activation.pth_6,0.5651156
checkpoints/sort_high_decay_l1_activation.pth_7,0.7259624
checkpoints/sort_high_decay_l1_activation.pth_8,0.66767764
checkpoints/sort_high_decay_l1_activation.pth_9,0.8451413
checkpoints/sort_high_decay_l1_activation.pth_10,0.6724218
checkpoints/sort_high_decay_l1_activation.pth_11,0.91883415
checkpoints/sort_high_decay_l1_activation.pth_12,0.9429235
checkpoints/sort_high_decay_l1_activation.pth_13,1.1748153
checkpoints/sort_high_decay_l1_activation.pth_14,0.8038025
checkpoints/sort_high_decay_l1_activation.pth_15,1.1623611
checkpoints/sort_high_decay_l1_activation.pth_16,0.94623834
checkpoints/sort_high_decay_l1_activation.pth_17,1.1992165
checkpoints/sort_high_decay_l1_activation.pth_18,1.0655266
checkpoints/sort_high_decay_l1_activation.pth_19,1.3106416
checkpoints/sort_high_decay_l1_activation.pth_20,1.4692307
checkpoints/sort_high_decay_l1_activation.pth_21,1.8165774
checkpoints/sort_high_decay_l1_activation.pth_22,1.1291363
checkpoints/sort_high_decay_l1_activation.pth_23,1.627375
checkpoints/sort_high_decay_l1_activation.pth_24,1.1898483
checkpoints/sort_high_decay_l1_activation.pth_25,1.3954569
checkpoints/sort_high_decay_l1_activation.pth_26,1.1990244
checkpoints/sort_high_decay_l1_activation.pth_27,1.457807
checkpoints/sort_high_decay_l1_activation.pth_28,1.266514
checkpoints/sort_high_decay_l1_activation.pth_29,1.1272181
