,Epoch,Loss,Model
0,0,2.302858829498291,Model 0
1,1,2.2362420558929443,Model 0
2,2,2.171271562576294,Model 0
3,3,2.1114132404327393,Model 0
4,4,2.041315793991089,Model 0
5,5,1.9700549840927124,Model 0
6,6,1.9008076190948486,Model 0
7,7,1.828817367553711,Model 0
8,8,1.763812780380249,Model 0
9,9,1.7046444416046143,Model 0
10,10,1.643109679222107,Model 0
11,11,1.5954923629760742,Model 0
12,12,1.5613582134246826,Model 0
13,13,1.5224571228027344,Model 0
14,14,1.5165213346481323,Model 0
15,15,1.5102688074111938,Model 0
16,16,1.4923255443572998,Model 0
17,17,1.4454327821731567,Model 0
18,18,1.4397048950195312,Model 0
19,19,1.444968342781067,Model 0
20,20,1.4168519973754883,Model 0
21,21,1.3961515426635742,Model 0
22,22,1.3870813846588135,Model 0
23,23,1.3650879859924316,Model 0
24,24,1.350834608078003,Model 0
25,25,1.333310842514038,Model 0
26,26,1.3128905296325684,Model 0
27,27,1.2872544527053833,Model 0
28,28,1.2679293155670166,Model 0
29,29,1.2417833805084229,Model 0
30,30,1.1999918222427368,Model 0
31,31,1.1786589622497559,Model 0
32,32,1.1572617292404175,Model 0
33,33,1.150860071182251,Model 0
34,34,1.1332823038101196,Model 0
35,35,1.0779708623886108,Model 0
36,36,1.0860987901687622,Model 0
37,37,1.0732474327087402,Model 0
38,38,1.0123727321624756,Model 0
39,39,1.0361970663070679,Model 0
40,40,0.9987998008728027,Model 0
41,41,0.9675050973892212,Model 0
42,42,0.9599390029907227,Model 0
43,43,0.9168503880500793,Model 0
44,44,0.920534610748291,Model 0
45,45,0.8962796330451965,Model 0
46,46,0.8574587106704712,Model 0
47,47,0.8757114410400391,Model 0
48,48,0.8275888562202454,Model 0
49,49,0.8311142921447754,Model 0
50,50,0.8189287185668945,Model 0
51,51,0.781812310218811,Model 0
52,52,0.7810140252113342,Model 0
53,53,0.7658699750900269,Model 0
54,54,0.7466919422149658,Model 0
55,55,0.7451473474502563,Model 0
56,56,0.7226294279098511,Model 0
57,57,0.7111028432846069,Model 0
58,58,0.705292284488678,Model 0
59,59,0.6978299021720886,Model 0
60,60,0.6775484681129456,Model 0
61,61,0.6751520037651062,Model 0
62,62,0.6663874983787537,Model 0
63,63,0.6534988284111023,Model 0
64,64,0.636669397354126,Model 0
65,65,0.6371517181396484,Model 0
66,66,0.6183344125747681,Model 0
67,67,0.6010993123054504,Model 0
68,68,0.5933142900466919,Model 0
69,69,0.5862799882888794,Model 0
70,70,0.5849965810775757,Model 0
71,71,0.5677745938301086,Model 0
72,72,0.5437433123588562,Model 0
73,73,0.5290815234184265,Model 0
74,74,0.5180972814559937,Model 0
75,75,0.5171390771865845,Model 0
76,76,0.493274450302124,Model 0
77,77,0.48332858085632324,Model 0
78,78,0.46937617659568787,Model 0
79,79,0.4594968259334564,Model 0
80,80,0.44493523240089417,Model 0
81,81,0.4446791112422943,Model 0
82,82,0.44158902764320374,Model 0
83,83,0.43768367171287537,Model 0
84,84,0.4337330460548401,Model 0
