,Epoch,Loss,Model
0,0,-2.3195853233337402,Model 0
1,1,-2.622066020965576,Model 0
2,2,-8.9148588180542,Model 0
3,3,-153708036096.0,Model 0
4,4,,Model 0
5,5,,Model 0
6,6,,Model 0
7,7,,Model 0
8,8,,Model 0
9,9,,Model 0
10,10,,Model 0
11,11,,Model 0
12,12,,Model 0
13,13,,Model 0
14,14,,Model 0
15,15,,Model 0
16,16,,Model 0
17,17,,Model 0
18,18,,Model 0
19,19,,Model 0
20,20,,Model 0
21,21,,Model 0
22,22,,Model 0
23,23,,Model 0
24,24,,Model 0
25,25,,Model 0
26,26,,Model 0
27,27,,Model 0
28,28,,Model 0
29,29,,Model 0
30,30,,Model 0
31,31,,Model 0
32,32,,Model 0
33,33,,Model 0
34,34,,Model 0
35,35,,Model 0
36,36,,Model 0
37,37,,Model 0
38,38,,Model 0
39,39,,Model 0
40,40,,Model 0
41,41,,Model 0
42,42,,Model 0
43,43,,Model 0
44,44,,Model 0
45,45,,Model 0
46,46,,Model 0
47,47,,Model 0
48,48,,Model 0
49,49,,Model 0
50,50,,Model 0
51,51,,Model 0
52,52,,Model 0
53,53,,Model 0
54,54,,Model 0
55,55,,Model 0
56,56,,Model 0
57,57,,Model 0
58,58,,Model 0
59,59,,Model 0
60,60,,Model 0
61,61,,Model 0
62,62,,Model 0
63,63,,Model 0
64,64,,Model 0
65,65,,Model 0
66,66,,Model 0
67,67,,Model 0
68,68,,Model 0
69,69,,Model 0
70,70,,Model 0
71,71,,Model 0
72,72,,Model 0
73,73,,Model 0
74,74,,Model 0
75,75,,Model 0
76,76,,Model 0
77,77,,Model 0
78,78,,Model 0
79,79,,Model 0
80,80,,Model 0
81,81,,Model 0
82,82,,Model 0
83,83,,Model 0
84,84,,Model 0
85,85,,Model 0
86,86,,Model 0
87,87,,Model 0
88,88,,Model 0
89,89,,Model 0
90,90,,Model 0
91,91,,Model 0
92,92,,Model 0
93,93,,Model 0
94,94,,Model 0
95,95,,Model 0
96,96,,Model 0
97,97,,Model 0
98,98,,Model 0
99,99,,Model 0
100,100,,Model 0
101,101,,Model 0
102,102,,Model 0
103,103,,Model 0
104,104,,Model 0
105,105,,Model 0
106,106,,Model 0
107,107,,Model 0
108,108,,Model 0
109,109,,Model 0
110,110,,Model 0
111,111,,Model 0
112,112,,Model 0
113,113,,Model 0
114,114,,Model 0
115,115,,Model 0
116,116,,Model 0
117,117,,Model 0
118,118,,Model 0
119,119,,Model 0
120,120,,Model 0
121,121,,Model 0
122,122,,Model 0
123,123,,Model 0
124,124,,Model 0
125,125,,Model 0
126,126,,Model 0
127,127,,Model 0
128,128,,Model 0
129,129,,Model 0
130,130,,Model 0
131,131,,Model 0
132,132,,Model 0
133,133,,Model 0
134,134,,Model 0
135,135,,Model 0
136,136,,Model 0
137,137,,Model 0
138,138,,Model 0
139,139,,Model 0
140,140,,Model 0
141,141,,Model 0
142,142,,Model 0
143,143,,Model 0
144,144,,Model 0
145,145,,Model 0
146,146,,Model 0
147,147,,Model 0
148,148,,Model 0
149,149,,Model 0
150,150,,Model 0
151,151,,Model 0
152,152,,Model 0
153,153,,Model 0
154,154,,Model 0
155,155,,Model 0
156,156,,Model 0
157,157,,Model 0
158,158,,Model 0
159,159,,Model 0
160,160,,Model 0
161,161,,Model 0
162,162,,Model 0
163,163,,Model 0
164,164,,Model 0
165,165,,Model 0
166,166,,Model 0
167,167,,Model 0
168,168,,Model 0
169,169,,Model 0
170,170,,Model 0
171,171,,Model 0
172,172,,Model 0
173,173,,Model 0
174,174,,Model 0
175,175,,Model 0
176,176,,Model 0
177,177,,Model 0
178,178,,Model 0
179,179,,Model 0
180,180,,Model 0
181,181,,Model 0
182,182,,Model 0
183,183,,Model 0
184,184,,Model 0
185,185,,Model 0
186,186,,Model 0
187,187,,Model 0
188,188,,Model 0
189,189,,Model 0
190,190,,Model 0
191,191,,Model 0
192,192,,Model 0
193,193,,Model 0
194,194,,Model 0
195,195,,Model 0
196,196,,Model 0
197,197,,Model 0
198,198,,Model 0
199,199,,Model 0
200,200,,Model 0
201,201,,Model 0
202,202,,Model 0
203,203,,Model 0
204,204,,Model 0
205,205,,Model 0
206,206,,Model 0
207,207,,Model 0
208,208,,Model 0
209,209,,Model 0
210,210,,Model 0
211,211,,Model 0
212,212,,Model 0
213,213,,Model 0
214,214,,Model 0
215,215,,Model 0
216,216,,Model 0
217,217,,Model 0
218,218,,Model 0
219,219,,Model 0
220,220,,Model 0
221,221,,Model 0
222,222,,Model 0
223,223,,Model 0
224,224,,Model 0
225,225,,Model 0
226,226,,Model 0
227,227,,Model 0
228,228,,Model 0
229,229,,Model 0
230,230,,Model 0
231,231,,Model 0
232,232,,Model 0
233,233,,Model 0
234,234,,Model 0
235,235,,Model 0
236,236,,Model 0
237,237,,Model 0
238,238,,Model 0
239,239,,Model 0
240,240,,Model 0
241,241,,Model 0
242,242,,Model 0
243,243,,Model 0
244,244,,Model 0
245,245,,Model 0
246,246,,Model 0
247,247,,Model 0
248,248,,Model 0
249,249,,Model 0
250,250,,Model 0
251,251,,Model 0
252,252,,Model 0
253,253,,Model 0
254,254,,Model 0
255,255,,Model 0
256,256,,Model 0
257,257,,Model 0
258,258,,Model 0
259,259,,Model 0
260,260,,Model 0
261,261,,Model 0
262,262,,Model 0
263,263,,Model 0
264,264,,Model 0
265,265,,Model 0
266,266,,Model 0
267,267,,Model 0
268,268,,Model 0
269,269,,Model 0
270,270,,Model 0
271,271,,Model 0
272,272,,Model 0
273,273,,Model 0
274,274,,Model 0
275,275,,Model 0
276,276,,Model 0
277,277,,Model 0
278,278,,Model 0
279,279,,Model 0
280,280,,Model 0
281,281,,Model 0
282,282,,Model 0
283,283,,Model 0
284,284,,Model 0
285,285,,Model 0
286,286,,Model 0
287,287,,Model 0
288,288,,Model 0
289,289,,Model 0
290,290,,Model 0
291,291,,Model 0
292,292,,Model 0
293,293,,Model 0
294,294,,Model 0
295,295,,Model 0
296,296,,Model 0
297,297,,Model 0
298,298,,Model 0
299,299,,Model 0
